season,game_id,away_team_abv,away_team,home_team_abv,home_team,roof,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,posteam,LastPlaySummary,LastPlayStatus,home_team_has_pos,posteam_abv,defteam_abv,receive_2h_ko_team,VisTimeouts,HomeTimeouts,posteam_timeouts_remaining,defteam_timeouts_remaining,BallOn_Side,BallOn_YardNum,DriveNum,yardline_100,spread_line,VisScore,HomeScore,MapRoleTackler1,MapRoleKicker,MapRoleKickreturner,FootballStatus,FootballPlayResult,FootballKickRetYards,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRolePasser,MapRoleReceiver,down,ydstogo,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_TOP,Result,FootballYards,Drive_Yards,MapRoleRusher,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,MapRolePassDefender,MapRoleTackler2,FootballMainScoringPlay,MapRolePunter,MapRolePuntreturner,FootballPuntYards,FootballPuntRetYards,FootballConvAttPts,MapRoleQbHitter,MapRoleInterceptor,MapRoleSacker1,FootballTimeoutTeamId,FootballFumble_TeamFumbled,FootballFumble_PlayerFumbled,FootballFumble_TeamRecovered,FootballFumble_PlayerRecovered,FootballFumble_PlayerForcedFumble,FootballZone,punt_attempt,pass_touchdown,rush_touchdown,field_goal_attempt,field_goal_made,touchdown
2023,FOOTBALL_XFL_2023_4_30_SEA@DC,SEA,6,DC,8,outdoors,1,1682881569.8243303,,2023-04-30 19:06:09.824330,EventStart,Game Start Marker,,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_30_SEA@DC,,QBStat,10005,2303001-NorthChamp,900,1800,3600,15:00,6,,,0.0,SEA,DC,0.0,3,3,3.0,3.0,Home,30,1,30.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_30_SEA@DC,SEA,6,DC,8,outdoors,4,1682881597.0,54397,2023-04-30 19:06:37.000000,EventFootballKickoff,FROM DC 30 (14:59) 34 M. McCrane kicks from DC 30. 86 K. McKnight to SEA 26 for 11 yards (24 A. Kelly),,True,1,14,59,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_30_SEA@DC,,QBStat,1,2303001-NorthChamp,899,1799,3599,14:59,6,,,0.0,SEA,DC,0.0,3,3,3.0,3.0,Home,30,1,30.0,0,0,0,20873,21028,21875,StatusOfficial,ResultKickReturned,11.0,Visitor,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_30_SEA@DC,SEA,6,DC,8,outdoors,6,1682881648.0,54448,2023-04-30 19:07:28.000000,EventFootballPass,1-10-SEA 26 (14:51) 6 B. DiNucci pass dropped by 0 J. Gordon,,True,1,14,51,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_30_SEA@DC,,QBStat,2,2303001-NorthChamp,891,1791,3591,14:51,6,,,0.0,SEA,DC,0.0,3,3,3.0,3.0,Visitor,26,1,74.0,0,0,0,,,,StatusOfficial,ResultPassDropped,,,,21979,22840,1.0,10.0,Visitor,26.0,1.0,0:09, ,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_30_SEA@DC,SEA,6,DC,8,outdoors,8,1682881684.0,54484,2023-04-30 19:08:04.000000,EventFootballPass,2-10-SEA 26 (14:19) 6 B. DiNucci pass to 4 J. Green to SEA 35 for 9 yards (39 S. Ramirez),,True,1,14,19,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_30_SEA@DC,,QBStat,3,2303001-NorthChamp,859,1759,3559,14:19,6,,,0.0,SEA,DC,0.0,3,3,3.0,3.0,Visitor,26,1,74.0,0,0,0,21278,,,StatusOfficial,ResultPassComplete,,,,21979,22035,2.0,10.0,Visitor,26.0,2.0,1:00, ,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_30_SEA@DC,SEA,6,DC,8,outdoors,12,1682881721.0,54521,2023-04-30 19:08:41.000000,EventFootballPass,3-1-SEA 35 (13:41) 6 B. DiNucci pass to 0 J. Gordon to SEA 43 for 8 yards (29 K. Brice),,True,1,13,41,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_30_SEA@DC,,QBStat,4,2303001-NorthChamp,821,1721,3521,13:41,6,,,0.0,SEA,DC,0.0,3,3,3.0,3.0,Visitor,35,1,65.0,0,0,0,20180,,,StatusOfficial,ResultPassComplete,,,,21979,22840,3.0,1.0,Visitor,26.0,3.0,1:43, ,8.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_30_SEA@DC,SEA,6,DC,8,outdoors,14,1682881758.0,54558,2023-04-30 19:09:18.000000,EventFootballRush,1-10-SEA 43 (13:04) 6 B. DiNucci rush to SEA 44 for 1 yard (6 F. Brown),,True,1,13,4,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_30_SEA@DC,,QBStat,5,2303001-NorthChamp,784,1684,3484,13:04,6,,,0.0,SEA,DC,0.0,3,3,3.0,3.0,Visitor,43,1,57.0,0,0,0,20201,,,StatusOfficial,,,,,,,1.0,10.0,Visitor,26.0,4.0,2:06, ,1.0,18.0,21979,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_30_SEA@DC,SEA,6,DC,8,outdoors,16,1682881793.0,54593,2023-04-30 19:09:53.000000,EventFootballPass,2-9-SEA 44 (12:30) 6 B. DiNucci pass dropped by 4 J. Green,,True,1,12,30,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_30_SEA@DC,,QBStat,6,2303001-NorthChamp,750,1650,3450,12:30,6,,,0.0,SEA,DC,0.0,3,3,3.0,3.0,Visitor,44,1,56.0,0,0,0,,,,StatusOfficial,ResultPassDropped,,,,21979,22035,2.0,9.0,Visitor,26.0,5.0,2:30, ,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_30_SEA@DC,SEA,6,DC,8,outdoors,18,1682881832.0,54632,2023-04-30 19:10:32.000000,EventFootballPass,"3-9-SEA 44 (11:55) 6 B. DiNucci pass to 3 J. Pearson to DC 30 for 26 yards (15 M. Joseph) PENALTY on (DC) 48 A. Mintze, 15 yards",,True,1,11,55,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_30_SEA@DC,,QBStat,7,2303001-NorthChamp,715,1615,3415,11:55,6,,,0.0,SEA,DC,0.0,3,3,3.0,3.0,Visitor,44,1,56.0,0,0,0,22862,,,StatusOfficial,ResultPassComplete,,,,21979,21203,3.0,9.0,Visitor,26.0,6.0,3:06, ,26.0,59.0,,8,21080,15.0,ResultPenaltyAuto1Stdown,NA,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_30_SEA@DC,SEA,6,DC,8,outdoors,21,1682881894.0,54694,2023-04-30 19:11:34.000000,EventFootballPass,1-10-DC 15 (11:36) 6 B. DiNucci pass incomplete to 0 J. Gordon Pass Defended by 48 A. Mintze,,True,1,11,36,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_30_SEA@DC,,QBStat,8,2303001-NorthChamp,696,1596,3396,11:36,6,,,0.0,SEA,DC,0.0,3,3,3.0,3.0,Home,15,1,15.0,0,0,0,,,,StatusOfficial,ResultPassIncomplete,,,,21979,22840,1.0,10.0,Visitor,26.0,7.0,3:31, ,,59.0,,,,,,,21080,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_30_SEA@DC,SEA,6,DC,8,outdoors,26,1682881932.0,54732,2023-04-30 19:12:12.000000,EventFootballPass,"2-10-DC 15 (11:01) 6 B. DiNucci pass to 3 J. Pearson to DC 15 for 0 yards (26 D. Neal, 6 F. Brown)",,True,1,11,1,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_30_SEA@DC,,QBStat,9,2303001-NorthChamp,661,1561,3361,11:01,6,,,0.0,SEA,DC,0.0,3,3,3.0,3.0,Home,15,1,15.0,0,0,0,21133,,,StatusOfficial,ResultPassComplete,,,,21979,21203,2.0,10.0,Visitor,26.0,8.0,4:13, ,0.0,59.0,,,,,,,,20201,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
