season,game_id,away_team_abv,away_team_id,home_team_abv,home_team_id,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,VisTimeouts,HomeTimeouts,BallOn_Side,BallOn_YardNum,DriveNum,pos_team_ID,PossTeamAbv,LastPlaySummary,LastPlayStatus,home_team_has_pos,yardline_100,VisScore,HomeScore,MapRoleTackler1,MapRoleTackler2,MapRoleKicker,MapRoleKickreturner,FootballStatus,FootballPlayResult,FootballKickRetYards,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRolePasser,MapRoleReceiver,Down,Distance,FootballYards,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_Yards,Drive_TOP,Result,MapRoleRusher,MapRolePunter,MapRolePuntreturner,FootballPuntYards,FootballPuntRetYards,MapRolePassDefender,FootballMainScoringPlay,FootballConvAttPts,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,punt_attempt,pass_touchdown,rush_touchdown,field_goal_attempt,field_goal_made,touchdown
2023,FOOTBALL_XFL_2023_3_27_HOU@DC,HOU,2,DC,8,1,1679958260.619936,,2023-03-27 23:04:20.619936,EventStart,Game Start Marker,,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_27_HOU@DC,,QBStat,10005,2302024-HOU-at-DC,900,1800,3600,15:00,3,3,Home,30,1,2,,,,0.0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_27_HOU@DC,HOU,2,DC,8,4,1679958283.0,68683,2023-03-27 23:04:43.000000,EventFootballKickoff,"FROM DC 30 (14:58) 34 M. McCrane kicks from DC 30. 20 D. Lee to HOU 13 for 13 yards (92 M. Fisher, 21 M. Nicholson)",,True,1,14,58,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_27_HOU@DC,,QBStat,1,2302024-HOU-at-DC,898,1798,3598,14:58,3,3,Home,30,1,2,,,,0.0,30,0,0,20480,22892,34,20189,StatusOfficial,ResultKickReturned,13.0,Visitor,13.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_27_HOU@DC,HOU,2,DC,8,6,1679958334.0,68734,2023-03-27 23:05:34.000000,EventFootballPass,1-10-HOU 13 (14:44) 12 B. Silvers pass to 6 T. Harris to HOU 28 for 15 yards (29 K. Brice),,True,1,14,44,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_27_HOU@DC,,QBStat,2,2302024-HOU-at-DC,884,1784,3584,14:44,3,3,Visitor,13,1,2,,,,0.0,87,0,0,20180,,,,StatusOfficial,ResultPassComplete,,,,21984,20642,1.0,10.0,15.0,Visitor,13.0,1.0,15.0,0:31, ,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_27_HOU@DC,HOU,2,DC,8,8,1679958355.0,68755,2023-03-27 23:05:55.000000,EventFootballRush,1-10-HOU 28 (14:23) 22 M. Borghi rush to HOU 25 for -3 yards (43 F. Bernard),,True,1,14,23,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_27_HOU@DC,,QBStat,3,2302024-HOU-at-DC,863,1763,3563,14:23,3,3,Visitor,28,1,2,,,,0.0,72,0,0,22329,,,,StatusOfficial,,,,,,,1.0,10.0,-3.0,Visitor,13.0,2.0,12.0,0:53, ,20149,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_27_HOU@DC,HOU,2,DC,8,10,1679958382.0,68782,2023-03-27 23:06:22.000000,EventFootballRush,2-13-HOU 25 (13:55) 22 M. Borghi rush to HOU 28 for 3 yards (57 A. Hines),,True,1,13,55,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_27_HOU@DC,,QBStat,4,2302024-HOU-at-DC,835,1735,3535,13:55,3,3,Visitor,25,1,2,,,,0.0,75,0,0,20699,,,,StatusOfficial,,,,,,,2.0,13.0,3.0,Visitor,13.0,3.0,15.0,1:20, ,20149,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_27_HOU@DC,HOU,2,DC,8,12,1679958413.0,68813,2023-03-27 23:06:53.000000,EventFootballPass,3-10-HOU 28 (13:24) 12 B. Silvers pass to 10 J. Smith to HOU 47 for 19 yards (20 J. Brooks),,True,1,13,24,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_27_HOU@DC,,QBStat,5,2302024-HOU-at-DC,804,1704,3504,13:24,3,3,Visitor,28,1,2,,,,0.0,72,0,0,20189,,,,StatusOfficial,ResultPassComplete,,,,21984,21441,3.0,10.0,19.0,Visitor,13.0,4.0,34.0,2:01, ,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_27_HOU@DC,HOU,2,DC,8,14,1679958448.0,68848,2023-03-27 23:07:28.000000,EventFootballRush,1-10-HOU 47 (12:49) 22 M. Borghi rush to HOU 48 for 1 yard (15 M. Joseph),,True,1,12,49,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_27_HOU@DC,,QBStat,6,2302024-HOU-at-DC,769,1669,3469,12:49,3,3,Visitor,47,1,2,,,,0.0,53,0,0,22862,,,,StatusOfficial,,,,,,,1.0,10.0,1.0,Visitor,13.0,5.0,35.0,2:39, ,20149,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_27_HOU@DC,HOU,2,DC,8,20,1679958483.0,68883,2023-03-27 23:08:03.000000,EventFootballPass,2-9-HOU 48 (12:17) 12 B. Silvers pass incomplete to 2 C. Byrd,,True,1,12,17,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_27_HOU@DC,,QBStat,7,2302024-HOU-at-DC,737,1637,3437,12:17,3,3,Visitor,48,1,2,,,,0.0,52,0,0,,,,,StatusOfficial,ResultPassIncomplete,,,,21984,20241,2.0,9.0,,Visitor,13.0,6.0,35.0,2:52, ,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_27_HOU@DC,HOU,2,DC,8,19,1679958521.0,68921,2023-03-27 23:08:41.000000,EventFootballPass,3-9-HOU 48 (11:43) 12 B. Silvers pass incomplete to 1 D. Burnett,,True,1,11,43,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_27_HOU@DC,,QBStat,8,2302024-HOU-at-DC,703,1603,3403,11:43,3,3,Visitor,48,1,2,,,,0.0,52,0,0,,,,,StatusOfficial,ResultPassIncomplete,,,,21984,20229,3.0,9.0,,Visitor,13.0,7.0,35.0,3:18, ,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_27_HOU@DC,HOU,2,DC,8,22,1679958554.0,68954,2023-03-27 23:09:14.000000,EventFootballPunt,4-9-HOU 48 (11:16) 46 R. Porter punts 37 yards from HOU 48 to DC 15. 12 J. Ezzard to DC 14 for -1 yards (29 A. Hendy),,True,1,11,16,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_27_HOU@DC,,QBStat,9,2302024-HOU-at-DC,676,1576,3376,11:16,3,3,Visitor,48,1,2,,,,0.0,52,0,0,20180,,,,StatusOfficial,ResultKickReturned,,Home,14.0,,,4.0,9.0,,Visitor,13.0,7.0,35.0,3:44,PUNT,,21248,21933,37.0,-1.0,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_27_HOU@DC,HOU,2,DC,8,25,1679958598.0,68998,2023-03-27 23:09:58.000000,EventFootballPass,1-10-DC 14 (11:08) 10 J. Ta'amu pass to 0 J. Hammond to DC 19 for 5 yards (4 W. Likely),,True,1,11,8,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_27_HOU@DC,,QBStat,10,2302024-HOU-at-DC,668,1568,3368,11:08,3,3,Home,14,2,8,,,,1.0,86,0,0,22601,,,,StatusOfficial,ResultPassComplete,,,,22296,20618,1.0,10.0,5.0,Home,14.0,1.0,5.0,0:28, ,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_27_HOU@DC,HOU,2,DC,8,27,1679958626.0,69026,2023-03-27 23:10:26.000000,EventFootballRush,2-5-DC 19 (10:40) 4 A. Smith rush to DC 22 for 3 yards (52 E. Ellerbee),,True,1,10,40,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_27_HOU@DC,,QBStat,11,2302024-HOU-at-DC,640,1540,3340,10:40,3,3,Home,19,2,8,,,,1.0,81,0,0,21857,,,,StatusOfficial,,,,,,,2.0,5.0,3.0,Home,14.0,2.0,8.0,0:46, ,21427,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_3_27_HOU@DC,HOU,2,DC,8,29,1679958659.0,69059,2023-03-27 23:10:59.000000,EventFootballPass,3-2-DC 22 (10:08) 10 J. Ta'amu pass incomplete to 1 C. Blair Pass Defended by 11 T. Beckett,,True,1,10,8,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_3_27_HOU@DC,,QBStat,12,2302024-HOU-at-DC,608,1508,3308,10:08,3,3,Home,22,2,8,,,,1.0,78,0,0,,,,,StatusOfficial,ResultPassIncomplete,,,,22296,20133,3.0,2.0,,Home,14.0,3.0,8.0,1:03, ,,,,,,20107,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
