season,game_id,away_team_abv,away_team,home_team_abv,home_team,roof,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,posteam,LastPlaySummary,LastPlayStatus,home_team_has_pos,posteam_abv,defteam_abv,receive_2h_ko_team,VisTimeouts,HomeTimeouts,posteam_timeouts_remaining,defteam_timeouts_remaining,BallOn_Side,BallOn_YardNum,DriveNum,yardline_100,spread_line,VisScore,HomeScore,MapRoleTackler1,MapRoleKicker,MapRoleKickreturner,FootballStatus,FootballPlayResult,FootballKickRetYards,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRolePasser,MapRoleReceiver,down,ydstogo,FootballYards,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_Yards,Drive_TOP,Result,MapRoleTackler2,MapRoleRusher,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,MapRolePunter,MapRolePuntreturner,FootballPuntYards,FootballPuntRetYards,MapRolePassDefender,punt_attempt,pass_touchdown,rush_touchdown,field_goal_attempt,field_goal_made,touchdown
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,1,1681081446.6098237,,2023-04-09 23:04:06.609824,EventStart,Game Start Marker,,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,10005,2302032-DC-at-SEA,900,1800,3600,15:00,8,,,0.0,DC,SEA,0.0,3,3,3.0,3.0,Home,30,1,30.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,3,1681081486.0,68686,2023-04-09 23:04:46.000000,EventFootballKickoff,FROM SEA 30 (15:00) 11 D. Eberle kicks from SEA 30. 16 B. Smith to DC 18 for 16 yards (44 E. Ponder),,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,1,2302032-DC-at-SEA,900,1800,3600,15:00,8,,,0.0,DC,SEA,0.0,3,3,3.0,3.0,Home,30,1,30.0,0,0,0,22017,22874,22889,StatusOfficial,ResultKickReturned,16.0,Visitor,18.0,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,5,1681081530.0,68730,2023-04-09 23:05:30.000000,EventFootballPass,1-10-DC 18 (14:49) 10 J. Ta'amu pass to 11 L. Jackson to DC 22 for 4 yards (5 C. Payton-Jones),,True,1,14,49,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,2,2302032-DC-at-SEA,889,1789,3589,14:49,8,,,0.0,DC,SEA,0.0,3,3,3.0,3.0,Visitor,18,1,82.0,0,0,0,20836,,,StatusOfficial,ResultPassComplete,,,,22296,20766,1.0,10.0,4.0,Visitor,18.0,1.0,4.0,0:29, ,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,7,1681081558.0,68758,2023-04-09 23:05:58.000000,EventFootballPass,"2-6-DC 22 (14:21) 10 J. Ta'amu pass to 0 J. Hammond to DC 28 for 6 yards (1 B. Thompson, 32 Q. Cole)",,True,1,14,21,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,3,2302032-DC-at-SEA,861,1761,3561,14:21,8,,,0.0,DC,SEA,0.0,3,3,3.0,3.0,Visitor,22,1,78.0,0,0,0,22377,,,StatusOfficial,ResultPassComplete,,,,22296,20618,2.0,6.0,6.0,Visitor,18.0,2.0,10.0,0:52, ,20311,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,9,1681081578.0,68778,2023-04-09 23:06:18.000000,EventFootballPass,1-10-DC 28 (14:02) 10 J. Ta'amu pass incomplete to 0 J. Hammond,,True,1,14,2,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,4,2302032-DC-at-SEA,842,1742,3542,14:02,8,,,0.0,DC,SEA,0.0,3,3,3.0,3.0,Visitor,28,1,72.0,0,0,0,,,,StatusOfficial,ResultPassIncomplete,,,,22296,20618,1.0,10.0,,Visitor,18.0,3.0,10.0,0:58, ,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,11,1681081605.0,68805,2023-04-09 23:06:45.000000,EventFootballRush,2-10-DC 28 (13:43) 4 A. Smith rush to DC 37 for 9 yards (8 T. Walker),,True,1,13,43,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,5,2302032-DC-at-SEA,823,1723,3523,13:43,8,,,0.0,DC,SEA,0.0,3,3,3.0,3.0,Visitor,28,1,72.0,0,0,0,21620,,,StatusOfficial,,,,,,,2.0,10.0,9.0,Visitor,18.0,4.0,19.0,1:29, ,,21427,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,14,1681081636.0,68836,2023-04-09 23:07:16.000000,EventFootballRush,"3-1-DC 37 (13:21) 4 A. Smith rush to DC 37 for 0 yards (52 A. Jackson, 48 S. Miller)",,True,1,13,21,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,6,2302032-DC-at-SEA,801,1701,3501,13:21,8,,,0.0,DC,SEA,0.0,3,3,3.0,3.0,Visitor,37,1,63.0,0,0,0,20760,,,StatusOfficial,,,,,,,3.0,1.0,0.0,Visitor,18.0,5.0,19.0,2:01, ,22630,21427,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,16,1681081685.0,68885,2023-04-09 23:08:05.000000,EventFootballPenalty,"4-1-DC 37 (12:41) PENALTY on D.C. Defenders, 5 yards",,True,1,12,41,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,7,2302032-DC-at-SEA,761,1661,3461,12:41,8,,,0.0,DC,SEA,0.0,3,3,3.0,3.0,Visitor,37,1,63.0,0,0,0,,,,StatusOfficial,,,,,,,4.0,1.0,,Visitor,18.0,5.0,14.0,2:19, ,,,8,TM,5.0,ResultPenaltyRepeatdown,NA,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,18,1681081717.0,68917,2023-04-09 23:08:37.000000,EventFootballPunt,4-6-DC 32 (12:28) 19 D. Whelan punts 56 yards from DC 32 to SEA 12. 86 K. McKnight to SEA 18 for 6 yards (48 A. Mintze),,True,1,12,28,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,8,2302032-DC-at-SEA,748,1648,3448,12:28,8,,,0.0,DC,SEA,0.0,3,3,3.0,3.0,Visitor,32,1,68.0,0,0,0,21080,,,StatusOfficial,ResultKickReturned,,Home,18.0,,,4.0,6.0,,Visitor,18.0,5.0,14.0,2:32,PUNT,,,,,,,,21835,21875,56.0,6.0,,1,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_9_DC@SEA,DC,8,SEA,6,outdoors,21,1681081764.0,68964,2023-04-09 23:09:24.000000,EventFootballPass,1-10-SEA 18 (12:20) 6 B. DiNucci pass incomplete to 0 J. Gordon Pass Defended by 38 N. Rouse,,True,1,12,20,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_9_DC@SEA,,QBStat,9,2302032-DC-at-SEA,740,1640,3440,12:20,6,,,1.0,SEA,DC,0.0,3,3,3.0,3.0,Home,18,2,82.0,0,0,0,,,,StatusOfficial,ResultPassIncomplete,,,,21979,22840,1.0,10.0,,Home,18.0,1.0,,0:19, ,,,,,,,,,,,,21350,0,0.0,0.0,0.0,0.0,0.0
