season,game_id,away_team_abv,away_team,home_team_abv,home_team,roof,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,posteam,LastPlaySummary,LastPlayStatus,home_team_has_pos,posteam_abv,defteam_abv,receive_2h_ko_team,VisTimeouts,HomeTimeouts,posteam_timeouts_remaining,defteam_timeouts_remaining,BallOn_Side,BallOn_YardNum,DriveNum,yardline_100,spread_line,VisScore,HomeScore,MapRoleTackler1,MapRoleKicker,MapRoleKickreturner,FootballStatus,FootballPlayResult,FootballKickRetYards,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRolePasser,MapRoleReceiver,MapRoleTackler2,down,ydstogo,FootballYards,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_Yards,Drive_TOP,Result,MapRoleQbHitter,MapRoleRusher,FootballMainScoringPlay,FootballConvAttPts,MapRolePassDefender,MapRolePunter,MapRolePuntreturner,FootballPuntYards,FootballPuntRetYards,FootballTimeoutTeamId,MapRoleSacker1,FootballFumble_TeamFumbled,FootballFumble_PlayerFumbled,FootballFumble_TeamRecovered,FootballFumble_PlayerRecovered,FootballFumble_PlayerForcedFumble,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,MapRoleInterceptor,punt_attempt,pass_touchdown,rush_touchdown,field_goal_attempt,field_goal_made,touchdown
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,2,1684023311.8946574,,2023-05-14 00:15:11.894657,EventStart,Game Start Marker,,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,10005,2303003-Champ,900,1800,3600,15:00,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Home,30,1,30.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,33,1684023360.0,69360,2023-05-14 00:16:00.000000,EventFootballKickoff,FROM DC 30 (15:00) 34 M. McCrane kicks from DC 30. 4 J. Powell to ARL 24 for 19 yards (8 J. Ferguson),,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,1,2303003-Champ,900,1800,3600,15:00,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Home,30,1,30.0,0,0,0,20474,21028,21251,StatusOfficial,ResultKickReturned,19.0,Visitor,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,34,1684023410.0,69410,2023-05-14 00:16:50.000000,EventFootballPass,"1-10-ARL 24 (14:51) 12 L. Perez pass to 85 T. Vaughns to ARL 31 for 7 yards (5 R. Northrup, 29 K. Brice)",,True,1,14,51,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,2,2303003-Champ,891,1791,3591,14:51,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Visitor,24,1,76.0,0,0,0,21148,,,StatusOfficial,ResultPassComplete,,,,21207,22363,20180,1.0,10.0,7.0,Visitor,24.0,1.0,7.0,0:29, ,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,35,1684023478.0,69478,2023-05-14 00:17:58.000000,EventFootballPass,2-3-ARL 31 (14:25) 12 L. Perez pass to 13 C. Vander Esch to ARL 37 for 6 yards (24 A. Kelly),,True,1,14,25,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,3,2303003-Champ,865,1765,3565,14:25,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Visitor,31,1,69.0,0,0,0,20873,,,StatusOfficial,ResultPassComplete,,,,21207,21601,,2.0,3.0,6.0,Visitor,24.0,2.0,13.0,0:47, ,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,36,1684023524.0,69524,2023-05-14 00:18:44.000000,EventFootballPass,"1-10-ARL 37 (13:45) 12 L. Perez pass to 13 C. Vander Esch to ARL 48 for 11 yards QB Hit by 99 J. Wallace (26 D. Neal, 43 F. Bernard)",,True,1,13,45,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,4,2303003-Champ,825,1725,3525,13:45,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Visitor,37,1,63.0,0,0,0,21133,,,StatusOfficial,ResultPassComplete,,,,21207,21601,22329,1.0,10.0,11.0,Visitor,24.0,3.0,24.0,1:31, ,21623,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,37,1684023563.0,69563,2023-05-14 00:19:23.000000,EventFootballRush,1-10-ARL 48 (13:05) 2 D. Smith rush to DC 38 for 14 yards (29 K. Brice),,True,1,13,5,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,5,2303003-Champ,785,1685,3485,13:05,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Visitor,48,1,52.0,0,0,0,20180,,,StatusOfficial,,,,,,,,1.0,10.0,14.0,Visitor,24.0,4.0,38.0,2:11, ,,22305,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,75,1684023609.0,69609,2023-05-14 00:20:09.000000,EventFootballSack,"1-10-DC 38 (12:20) 12 L. Perez sacked at DC 41 for -3 yards Fumbled by 12 L. Perez,  Forced by 17 D. Bellamy Recovered by 12 L. Perez (17 D. Bellamy)",,True,1,12,20,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,6,2303003-Champ,740,1640,3440,12:20,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Home,38,1,38.0,0,0,0,,,,StatusOfficial,,,Visitor,41.0,21207,,,1.0,10.0,-3.0,Visitor,24.0,5.0,17.0,2:40,HALF,,,,,,,,,,,22416,1,21207,1,21207,22416,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,39,1684023657.0,69657,2023-05-14 00:20:57.000000,EventFootballRush,"1-10-ARL 41 (11:32) 2 D. Smith rush to ARL 41 for 0 yards (36 D. Swearinger, 6 F. Brown)",,True,1,11,32,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,7,2303003-Champ,692,1592,3392,11:32,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Visitor,41,2,59.0,0,0,0,22902,,,StatusOfficial,,,,,,,20201,1.0,10.0,0.0,Visitor,41.0,1.0,,3:27, ,,22305,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,40,1684023689.0,69689,2023-05-14 00:21:29.000000,EventFootballPass,"2-10-ARL 41 (11:00) 12 L. Perez pass to 80 S. Cannella for 41 yards, TOUCHDOWN",,True,1,11,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,8,2303003-Champ,660,1560,3360,11:00,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Visitor,41,2,59.0,0,0,0,,,,StatusOfficial,ResultPassComplete,,,,21207,22030,,2.0,10.0,41.0,Visitor,41.0,2.0,59.0,4:02,TD,,,ScoreTypeTd,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,1.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,41,1684023719.0,69719,2023-05-14 00:21:59.000000,EventFootballPat2PtPass,FROM DC 5 (10:58) 12 L. Perez 2-pt conversion pass to 13 C. Vander Esch NO GOOD,,True,1,10,58,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,9,2303003-Champ,658,1558,3358,10:58,1,,,0.0,ARL,DC,0.0,3,3,3.0,3.0,Home,5,2,5.0,0,6,0,,,,StatusOfficial,ResultPassIncomplete,,,,21207,21601,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,42,1684023990.0,69990,2023-05-14 00:26:30.000000,EventFootballKickoff,FROM ARL 30 (10:58) 1 T. Russolino kicks from ARL 30. 13 P. Williams to DC 29 for 18 yards (22 J. Carter),,True,1,10,58,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,10,2303003-Champ,658,1558,3358,10:58,8,,,1.0,DC,ARL,0.0,3,3,3.0,3.0,Visitor,30,3,30.0,0,6,0,20270,21359,21685,StatusOfficial,ResultKickReturned,18.0,Home,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,43,1684024030.0,70030,2023-05-14 00:27:10.000000,EventFootballRush,1-10-DC 29 (10:50) 10 J. Ta'amu rush to DC 28 for -1 yards (45 W. Clarke),,True,1,10,50,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,11,2303003-Champ,650,1550,3350,10:50,8,,,1.0,DC,ARL,0.0,3,3,3.0,3.0,Home,29,3,71.0,0,6,0,20296,,,StatusOfficial,,,,,,,,1.0,10.0,-1.0,Home,29.0,1.0,-1.0,0:18, ,,22296,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,44,1684024057.0,70057,2023-05-14 00:27:37.000000,EventFootballPass,2-11-DC 28 (10:23) 10 J. Ta'amu pass incomplete to 1 C. Blair Pass Defended by 53 D. Sankey,,True,1,10,23,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,12,2303003-Champ,623,1523,3323,10:23,8,,,1.0,DC,ARL,0.0,3,3,3.0,3.0,Home,28,3,72.0,0,6,0,,,,StatusOfficial,ResultPassIncomplete,,,,22296,20133,,2.0,11.0,,Home,29.0,2.0,-1.0,0:43, ,,,,,22886,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_5_13_ARL@DC,ARL,1,DC,8,outdoors,45,1684024090.0,70090,2023-05-14 00:28:10.000000,EventFootballPass,3-11-DC 28 (9:56) 10 J. Ta'amu pass incomplete to 0 J. Hammond Pass Defended by 21 C. LeBlanc,,True,1,9,56,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_5_13_ARL@DC,,QBStat,13,2303003-Champ,596,1496,3296,9:56,8,,,1.0,DC,ARL,0.0,3,3,3.0,3.0,Home,28,3,72.0,0,6,0,,,,StatusOfficial,ResultPassIncomplete,,,,22296,20618,,3.0,11.0,,Home,29.0,3.0,-1.0,1:11, ,,,,,21798,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
