season,game_id,away_team_abv,away_team,home_team_abv,home_team,roof,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,posteam,LastPlaySummary,LastPlayStatus,home_team_has_pos,posteam_abv,defteam_abv,receive_2h_ko_team,VisTimeouts,HomeTimeouts,posteam_timeouts_remaining,defteam_timeouts_remaining,BallOn_Side,BallOn_YardNum,DriveNum,yardline_100,spread_line,VisScore,HomeScore,MapRoleTackler1,MapRoleKicker,MapRoleKickreturner,FootballStatus,FootballPlayResult,FootballKickRetYards,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRoleRusher,MapRoleTackler2,down,ydstogo,FootballYards,FootballFumble_TeamFumbled,FootballFumble_PlayerFumbled,FootballFumble_TeamRecovered,FootballFumble_PlayerRecovered,FootballFumble_PlayerForcedFumble,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_Yards,Drive_TOP,Result,MapRolePasser,MapRoleReceiver,MapRolePunter,MapRolePuntreturner,FootballPuntYards,FootballPuntRetYards,MapRolePassDefender,MapRoleSacker1,FootballTimeoutTeamId,punt_attempt,pass_touchdown,rush_touchdown,field_goal_attempt,field_goal_made,touchdown
2023,FOOTBALL_XFL_2023_4_23_VGS@SEA,VGS,7,SEA,6,outdoors,1,1682291046.8815768,,2023-04-23 23:04:06.881577,EventStart,Game Start Marker,,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_23_VGS@SEA,,QBStat,10005,2302040-VGS-at-SEA,900,1800,3600,15:00,7,,,0.0,VGS,SEA,0.0,3,3,3.0,3.0,Home,30,1,30.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_23_VGS@SEA,VGS,7,SEA,6,outdoors,3,1682291093.0,68693,2023-04-23 23:04:53.000000,EventFootballKickoff,FROM SEA 30 (15:00) 11 D. Eberle kicks from SEA 30. 14 C. Sweeting to VGS 34 for 28 yards (8 T. Walker),,True,1,15,0,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_23_VGS@SEA,,QBStat,1,2302040-VGS-at-SEA,900,1800,3600,15:00,7,,,0.0,VGS,SEA,0.0,3,3,3.0,3.0,Home,30,1,30.0,0,0,0,21620,22874,21507,StatusOfficial,ResultKickReturned,28.0,Visitor,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_23_VGS@SEA,VGS,7,SEA,6,outdoors,5,1682291135.0,68735,2023-04-23 23:05:35.000000,EventFootballRush,"1-10-VGS 34 (14:49) 3 J. McClendon rush to VGS 35 for 1 yard Fumbled by 3 J. McClendon,  Recovered by 3 J. McClendon (8 T. Walker, 58 A. Faoliu)",,True,1,14,49,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_23_VGS@SEA,,QBStat,2,2302040-VGS-at-SEA,889,1789,3589,14:49,7,,,0.0,VGS,SEA,0.0,3,3,3.0,3.0,Visitor,34,1,66.0,0,0,0,21620,,,StatusOfficial,,,Visitor,35.0,21022,20466,1.0,10.0,1.0,7,21022,7,21022,,Visitor,34.0,1.0,1.0,0:37, ,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_23_VGS@SEA,VGS,7,SEA,6,outdoors,7,1682291173.0,68773,2023-04-23 23:06:13.000000,EventFootballRush,2-9-VGS 35 (14:12) 8 J. Lovett rush to VGS 43 for 8 yards (8 T. Walker),,True,1,14,12,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_23_VGS@SEA,,QBStat,3,2302040-VGS-at-SEA,852,1752,3552,14:12,7,,,0.0,VGS,SEA,0.0,3,3,3.0,3.0,Visitor,35,1,65.0,0,0,0,21620,,,StatusOfficial,,,,,21872,,2.0,9.0,8.0,,,,,,Visitor,34.0,2.0,9.0,0:55, ,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_23_VGS@SEA,VGS,7,SEA,6,outdoors,9,1682291205.0,68805,2023-04-23 23:06:45.000000,EventFootballRush,"3-1-VGS 43 (13:39) 3 J. McClendon rush to VGS 46 for 3 yards (32 Q. Cole, 52 A. Jackson)",,True,1,13,39,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_23_VGS@SEA,,QBStat,4,2302040-VGS-at-SEA,819,1719,3519,13:39,7,,,0.0,VGS,SEA,0.0,3,3,3.0,3.0,Visitor,43,1,57.0,0,0,0,20311,,,StatusOfficial,,,,,21022,20760,3.0,1.0,3.0,,,,,,Visitor,34.0,3.0,12.0,1:35, ,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_23_VGS@SEA,VGS,7,SEA,6,outdoors,11,1682291240.0,68840,2023-04-23 23:07:20.000000,EventFootballRush,1-10-VGS 46 (13:04) 14 C. Sweeting rush to VGS 46 for 0 yards (16 M. Wright),,True,1,13,4,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_23_VGS@SEA,,QBStat,5,2302040-VGS-at-SEA,784,1684,3484,13:04,7,,,0.0,VGS,SEA,0.0,3,3,3.0,3.0,Visitor,46,1,54.0,0,0,0,21721,,,StatusOfficial,,,,,21507,,1.0,10.0,0.0,,,,,,Visitor,34.0,4.0,12.0,2:05, ,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_23_VGS@SEA,VGS,7,SEA,6,outdoors,13,1682291274.0,68874,2023-04-23 23:07:54.000000,EventFootballPass,2-10-VGS 46 (12:30) 3 J. McClendon pass incomplete to 13 J. Badet,,True,1,12,30,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_23_VGS@SEA,,QBStat,6,2302040-VGS-at-SEA,750,1650,3450,12:30,7,,,0.0,VGS,SEA,0.0,3,3,3.0,3.0,Visitor,46,1,54.0,0,0,0,,,,StatusOfficial,ResultPassIncomplete,,,,,,2.0,10.0,,,,,,,Visitor,34.0,5.0,12.0,2:30, ,21022,20072,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_23_VGS@SEA,VGS,7,SEA,6,outdoors,15,1682291312.0,68912,2023-04-23 23:08:32.000000,EventFootballPass,3-10-VGS 46 (11:59) 3 J. McClendon pass incomplete to 19 G. Allison,,True,1,11,59,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_23_VGS@SEA,,QBStat,7,2302040-VGS-at-SEA,719,1619,3419,11:59,7,,,0.0,VGS,SEA,0.0,3,3,3.0,3.0,Visitor,46,1,54.0,0,0,0,,,,StatusOfficial,ResultPassIncomplete,,,,,,3.0,10.0,,,,,,,Visitor,34.0,6.0,12.0,3:02, ,21022,22325,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_23_VGS@SEA,VGS,7,SEA,6,outdoors,17,1682291351.0,68951,2023-04-23 23:09:11.000000,EventFootballPunt,4-10-VGS 46 (11:25) 17 M. Carrizosa punts 52 yards from VGS 46 to SEA 2. 86 K. McKnight to SEA 13 for 11 yards (24 W. Adams),,True,1,11,25,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_23_VGS@SEA,,QBStat,8,2302040-VGS-at-SEA,685,1585,3385,11:25,7,,,0.0,VGS,SEA,0.0,3,3,3.0,3.0,Visitor,46,1,54.0,0,0,0,20007,,,StatusOfficial,ResultKickReturned,,Home,13.0,,,4.0,10.0,,,,,,,Visitor,34.0,6.0,12.0,3:35,PUNT,,,21784,21875,52.0,11.0,,,,1,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_23_VGS@SEA,VGS,7,SEA,6,outdoors,19,1682291396.0,68996,2023-04-23 23:09:56.000000,EventFootballPass,"1-10-SEA 13 (11:19) 6 B. DiNucci pass to 0 J. Gordon to SEA 26 for 13 yards (28 C. Avery, 25 M. Evans)",,True,1,11,19,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_23_VGS@SEA,,QBStat,9,2302040-VGS-at-SEA,679,1579,3379,11:19,6,,,1.0,SEA,VGS,0.0,3,3,3.0,3.0,Home,13,2,87.0,0,0,0,20066,,,StatusOfficial,ResultPassComplete,,,,,20461,1.0,10.0,13.0,,,,,,Home,13.0,1.0,13.0,0:15, ,21979,22840,,,,,,,,0,0.0,0.0,0.0,0.0,0.0
